street;zip_code;city;region;country
268 Myrtle Avenue;;Lundazi;;Zambia
1 Texas Court;;Atbasar;;Kazakhstan
779 Crest Line Place;665442;Malaya Dubna;;Russia
37 Dorton Circle;4326;Babo-Pangulo;;Philippines
1018 Oriole Terrace;06-302;Przasnysz;;Poland
1 Meadow Vale Court;;Juancheng;;China
32 Hayes Court;;Wangdain;;China
68570 Surrey Way;5313;El Nido;;Philippines
8955 Morrow Hill;7808;Hobart;Tasmania;Australia
7 Pleasure Pass;;Ābdānān;;Iran
74 High Crossing Plaza;88109 CEDEX;Saint-Dié-des-Vosges;Lorraine;France
7 Hagan Alley;462409;Orsk;;Russia
4 Debs Drive;503-1305;Sobue;;Japan
11754 Hintze Center;783 53;Velká Bystřice;;Czech Republic
71524 Eagan Point;299-0271;Kisarazu;;Japan
8 Linden Court;184358;Murmashi;;Russia
517 Farmco Place;11305;Colima;;Costa Rica
7750 Lindbergh Trail;7300;Iraray;;Philippines
82029 Village Green Crossing;78045 CEDEX;Guyancourt;Île-de-France;France
10569 Ridge Oak Court;;Serang;;Indonesia
1580 Warrior Street;;Pingyao;;China
4 Mayfield Alley;;Kefang;;China
89233 Esker Trail;652245;Itatskiy;;Russia
4 Badeau Circle;92883;Corona;California;United States
4490 Bartillon Avenue;1225;Јегуновце;;Macedonia
75 Clarendon Road;08-107;Paprotnia;;Poland
70 Pankratz Park;92592 CEDEX;Levallois-Perret;Île-de-France;France
64286 Daystar Street;30280;Songkhla;;Thailand
81 Jenifer Street;;Sosándra;;Greece
41 Ludington Place;;Doro Oo;;Indonesia
64 Bobwhite Park;;Haradzishcha;;Belarus
979 Monument Avenue;;Tonekābon;;Iran
0 Bowman Plaza;;Náousa;;Greece
74 Schmedeman Center;167032;Syktyvkar;;Russia
19738 Brown Junction;62-040;Puszczykowo;;Poland
1 New Castle Crossing;4890-561;Além do Rio;Braga;Portugal
4 Schmedeman Drive;38944 CEDEX;Meylan;Rhône-Alpes;France
734 Village Green Junction;371 84;Karlskrona;Blekinge;Sweden
43196 Fairview Trail;G9X;La Tuque;Québec;Canada
8 Rusk Way;;Cibeureum;;Indonesia
9678 West Way;683 24;Hagfors;Värmland;Sweden
3 Comanche Point;116 45;Stockholm;Stockholm;Sweden
42225 Express Center;446600;Neftegorsk;;Russia
5 Sachtjen Street;;Biscucuy;;Venezuela
36 Drewry Lane;;Sapotskin;;Belarus
4 Darwin Drive;21-515;Sławatycze;;Poland
2 Grim Pass;649220;Shebalino;;Russia
45969 Maryland Park;;El Espino;;Panama
44 Main Junction;;Lingbei;;China
24763 Monica Way;49580-000;Areia Branca;;Brazil
150 Kenwood Alley;;Karangnongko;;Indonesia
53 Lindbergh Street;;Urcos;;Peru
48 Dahle Alley;;Ariana;;Tunisia
2148 Bashford Terrace;;Merapit;;Indonesia
3655 Mayer Drive;237 24;Bjärred;Skåne;Sweden
898 Duke Place;99730-000;Jacutinga;;Brazil
5 Ohio Circle;2200-499;Sentieiras;Santarém;Portugal
6 Hoffman Parkway;34-130;Kalwaria Zebrzydowska;;Poland
804 Schlimgen Trail;374-0079;Ashikaga;;Japan
18216 Crownhardt Lane;385436;Staraya Stanitsa;;Russia
1621 Redwing Crossing;MD-5134;Donduşeni;;Moldova
51681 Packers Court;;Caper;;Indonesia
4023 Lyons Trail;423371;Sarmanovo;;Russia
8414 Michigan Parkway;;Warungtanjung;;Indonesia
52730 Banding Circle;;Yushan;;China
01095 Shopko Alley;;Tianjiazhai;;China
99937 Green Place;;Kyonju;;South Korea
8 Barnett Trail;55458;Minneapolis;Minnesota;United States
5 Wayridge Crossing;;Yuxi;;China
9 Service Crossing;7300;Begang;;Philippines
35 Dryden Crossing;11905;San Pedro;;Costa Rica
2351 Pennsylvania Hill;48000-000;Alagoinhas;;Brazil
518 Monument Center;;Dmytrivka;;Ukraine
42 Vernon Way;;Cikarang;;Indonesia
992 4th Lane;;Baihua;;China
63500 Columbus Way;;Hội An;;Vietnam
4 Blackbird Trail;;Cimalati;;Indonesia
104 Erie Crossing;83-220;Skórcz;;Poland
6 Browning Avenue;64-300;Nowy Tomyśl;;Poland
83600 Katie Circle;;Talzemt;;Morocco
107 Dovetail Parkway;544529;Cucutilla;;Colombia
176 Coleman Hill;;Káto Miliá;;Greece
840 Hermina Court;;Cancas;;Peru
5369 Dovetail Junction;22005;Huesca;Aragon;Spain
193 Loeprich Alley;290 01;Poděbrady;;Czech Republic
9572 Merchant Plaza;49390-000;Salgado;;Brazil
3843 Canary Hill;;Chenzhuang;;China
4685 High Crossing Terrace;;Ad Dīwānīyah;;Iraq
413 Knutson Crossing;;Divichibazar;;Azerbaijan
861 Stoughton Point;;Saue;;Estonia
2 Everett Center;;Yuhuazhai;;China
01 Troy Court;8000;Burgas;;Bulgaria
3809 Artisan Court;;Sembon;;Indonesia
901 Scoville Parkway;307732;Konyshevka;;Russia
193 Crowley Pass;;Nueva Italia;;Paraguay
8 Carberry Point;34160;Det Udom;;Thailand
87392 Esch Hill;659635;Aya;;Russia
65622 Hazelcrest Pass;5664;Geldrop;Provincie Noord-Brabant;Netherlands
675 Roth Circle;;Mórrope;;Peru
76716 Northwestern Street;453150;Karmaskaly;;Russia
06874 Thackeray Center;611 24;Nyköping;Södermanland;Sweden
16 Carey Place;341 84;Ljungby;Kronoberg;Sweden
3 East Park;957-0353;Ishiki;;Japan
04 Texas Road;3129;Sagana;;Philippines
524 Ilene Terrace;V9L;Duncan;British Columbia;Canada
0 Sunnyside Center;;Nzega;;Tanzania
24628 Monica Crossing;2680;Dupnitsa;;Bulgaria
8 Harbort Hill;;La Mula;;Venezuela
93286 Hazelcrest Pass;;Pakisrejo;;Indonesia
82479 Scoville Place;9241;Lipovci;;Slovenia
066 Canary Junction;;Hengli;;China
61372 Gale Terrace;800-0331;Okazaki;;Japan
85239 Mosinee Parkway;;Tieli;;China
99081 6th Avenue;DN21;Upton;England;United Kingdom
7 Forest Dale Drive;;Paraíso;;Panama
5 School Parkway;929-1576;Hakui;;Japan
15 Maple Street;;Funafuti;;Tuvalu
30417 Buena Vista Place;;Mundri;;Indonesia
5 Roxbury Crossing;E25;Cashel;;Ireland
1 Express Terrace;;Longquan;;China
1 Waxwing Park;37245;Nashville;Tennessee;United States
460 Drewry Hill;4133;Pantijan No 2;;Philippines
115 Sunfield Place;34-116;Bachowice;;Poland
4908 Division Avenue;44570-000;Santo Antônio de Jesus;;Brazil
2 Superior Trail;;Da Nang;;Vietnam
4568 Hallows Plaza;;Skalánion;;Greece
03921 Dottie Center;3943;Porsgrunn;Telemark;Norway
3 Northport Street;;Jielin;;China
2 Mifflin Plaza;3700-622;Mirões;Aveiro;Portugal
07 Stoughton Drive;172115;Vasil’yevskiy Mokh;;Russia
1240 Shasta Drive;1590;Nigel;;South Africa
62904 Sage Junction;;Trà My;;Vietnam
6778 Rigney Court;33715;Saint Petersburg;Florida;United States
9184 Reinke Lane;;Changping;;China
05552 Northview Alley;353831;Novomyshastovskaya;;Russia
010 Rowland Pass;;Kosong;;South Korea
90 Kensington Center;2503;San Eugenio;;Philippines
37123 Stoughton Circle;;Weicheng;;China
0 Upham Plaza;;San Nicolás;;Honduras
69808 Riverside Road;85200-000;Pitanga;;Brazil
052 Red Cloud Alley;;Lengkongjaya;;Indonesia
52 Manufacturers Trail;881 30;Sollefteå;Västernorrland;Sweden
1 Marquette Lane;9320;Tagdanua;;Philippines
32798 Hazelcrest Avenue;;Jami;;Indonesia
28 Eagan Crossing;;San Cristóbal;;Venezuela
7465 Becker Plaza;;Yicheng;;China
6 Stone Corner Circle;;Qinglung;;China
79 Elmside Drive;;Ayaviri;;Peru
3 Kensington Center;;Sukamantri Satu;;Indonesia
122 Myrtle Junction;;Beška;;Serbia
9898 Ridgeview Parkway;59280-000;Macaíba;;Brazil
9946 Logan Court;;Jam;;Iran
23 Merrick Plaza;55457;Sabaneta;;Colombia
90426 Gulseth Pass;;Kasonawejo;;Indonesia
784 Westerfield Crossing;;Shwebo;;Myanmar
9 Tony Trail;26005;Logroño;La Rioja;Spain
072 New Castle Court;607676;Kstovo;;Russia
83030 Donald Pass;4500-695;Nogueira da Regedoura;Aveiro;Portugal
1 Kennedy Alley;6536;Kampokpok;;Philippines
0 Portage Center;357870;Edissiya;;Russia
153 Paget Center;;Sumberngerjat;;Indonesia
8 Pawling Circle;81806;Buenavista;Sinaloa;Mexico
41 Division Lane;;Walakeri;;Indonesia
003 Brown Center;09-414;Brudzeń Duży;;Poland
00 Grasskamp Trail;286-0002;Yatsushiro;;Japan
5813 Oak Place;9242;Khulna;;Bangladesh
01 Sauthoff Terrace;2560-028;A dos Cunhados;Lisboa;Portugal
9579 Walton Avenue;3994;Houten;Provincie Utrecht;Netherlands
1444 Colorado Place;195047;Florencia;;Colombia
256 Banding Lane;;Wuli;;China
49 Hollow Ridge Avenue;8424;Burgos;;Philippines
4666 Mccormick Court;;Nankang;;China
23724 Becker Lane;622012;Gornyye Klyuchi;;Russia
6 Harbort Point;;Changkeng;;China
2 Huxley Way;;Jabungsisir;;Indonesia
68 Redwing Trail;;Jixiang;;China
56 Westend Plaza;;Dazhongzhuang;;China
71 Anderson Point;429052;Krasnyye Chetai;;Russia
493 Vera Plaza;3119;Cut-cut Primero;;Philippines
2222 American Ash Terrace;173501;Volkhovskiy;;Russia
8 West Crossing;172 39;Sundbyberg;Stockholm;Sweden
5212 Northport Hill;;Faqqū‘ah;;Palestinian Territory
18 Milwaukee Drive;;Magepanda;;Indonesia
655 Marquette Pass;06116 CEDEX;Le Cannet;Provence-Alpes-Côte d'Azur;France
7 Morrow Pass;;Tekik Wetan;;Indonesia
01 Mallard Center;42-284;Wręczyca Wielka;;Poland
7 La Follette Circle;314-0116;Okunoya;;Japan
758 Walton Plaza;Y1A;Whitehorse;Yukon Territory;Canada
2888 Eagle Crest Hill;8005-453;Estoi;Faro;Portugal
42 Basil Point;;Gaolong;;China
3 Corscot Pass;460056;Khudoyelanskoye;;Russia
00 Helena Trail;4940-352;Porta;Viana do Castelo;Portugal
3 Northfield Circle;7933;Char Bhadrāsan;;Bangladesh
0304 Comanche Park;;Hele;;China
92639 Thompson Road;649792;Novotroitsk;;Russia
0440 Eagan Center;511 01;Mladá Boleslav;;Czech Republic
051 Manufacturers Court;84902 CEDEX 9;Avignon;Provence-Alpes-Côte d'Azur;France
9384 Transport Drive;;Sidaohezi;;China
816 Havey Place;76150;Phetchaburi;;Thailand
074 Harbort Point;;Sloboda;;Ukraine
85298 Holy Cross Alley;393995;Piterka;;Russia
0157 Vahlen Street;;Kafr ad Dawwār;;Egypt
0589 Westport Junction;;Huangcaotuo;;China
6052 Lukken Park;86110;Lang Suan;;Thailand
0 Oriole Avenue;;Shouchang;;China
75 Badeau Hill;;Xianxi;;China
9 Riverside Junction;6537;Villaba;;Philippines
230 Dahle Crossing;;Shuangshipu;;China
60028 Eagan Center;;Imulolong;;Indonesia
9 Lotheville Street;83120;Ban Talat Nua;;Thailand
2662 Sunfield Crossing;;Yuhang;;China
0 Eliot Way;446378;Novosemeykino;;Russia
34 Dixon Park;20601;Naranjo;;Costa Rica
6201 Portage Drive;67080 CEDEX;Strasbourg;Alsace;France
5 Farmco Road;;Dagang;;China
3285 Harper Crossing;;Turbiv;;Ukraine
63518 Burning Wood Park;8206;Barisāl;;Bangladesh
0592 Fremont Plaza;;Beigao;;China
3703 Nelson Hill;180536;Selishche;;Russia
1101 Kipling Place;662017;Balboa;;Colombia
55 Grasskamp Park;;Galátsi;;Greece
95 Manufacturers Court;3260;Larvik;Vestfold;Norway
8148 Stoughton Lane;;Massawa;;Eritrea
7 West Lane;;Renchaoxi;;China
5 Lien Park;83200-000;Paranaguá;;Brazil
6 Garrison Street;;Rozvadov;;Ukraine
0 Prentice Pass;162250;Kharovsk;;Russia
169 Summer Ridge Alley;;Ibeto;;Nigeria
0 Maple Wood Hill;;Fuyong;;China
3660 Waxwing Street;L-7634;Larochette;;Luxembourg
69 Declaration Terrace;5009;Szolnok;Jász-Nagykun-Szolnok;Hungary
25404 Nancy Terrace;;Tangtuzhui;;China
01 Duke Park;992-0778;Takaoka;;Japan
9 Blue Bill Park Circle;360 01;Karlovy Vary;;Czech Republic
2160 Pine View Court;1540;Kangar;Perlis;Malaysia
20 4th Drive;73130;Thatta;;Pakistan
42150 Dovetail Way;06-413;Ciechanów;;Poland
6 Erie Drive;65540-000;Santa Quitéria do Maranhão;;Brazil
5 Gateway Parkway;664 59;Telnice;;Czech Republic
1 Cordelia Court;;Stavyshche;;Ukraine
2 Donald Court;6116;Eustaquio Lopez;;Philippines
2003 Autumn Leaf Parkway;2721;Calabugao;;Philippines
3401 Oxford Terrace;;Luyang;;China
3683 Straubel Crossing;5688;East London;;South Africa
1389 Mifflin Parkway;14085 CEDEX 9;Caen;Basse-Normandie;France
0088 Macpherson Parkway;262 65;Ängelholm;Skåne;Sweden
71 Clyde Gallagher Pass;28-520;Opatowiec;;Poland
8 Bartelt Court;39209 CEDEX;Saint-Claude;Franche-Comté;France
3386 Maryland Pass;18720-000;Paranapanema;;Brazil
184 Holy Cross Drive;;Dongguan;;China
2222 Stephen Road;31029 CEDEX 4;Toulouse;Midi-Pyrénées;France
99653 Butterfield Court;169 30;Solna;Stockholm;Sweden
248 Springs Way;;Saynshand;;Mongolia
2586 Victoria Alley;;Gaotai;;China
1193 Golf Place;;Tai’an;;China
0083 Autumn Leaf Plaza;;Huaihe;;China
1 Gina Avenue;34140;Bueng Kan;;Thailand
46 Lerdahl Hill;;Quán Hàu;;Vietnam
50 Morning Road;;Stari Kuty;;Ukraine
8592 Drewry Trail;;Zhongfan;;China
25758 Bashford Drive;69060;Pithoro;;Pakistan
1 Petterle Trail;;Bogorejo;;Indonesia
3507 Prairieview Place;;Yishui;;China
4727 Sunnyside Street;96799;Mapusagafou;;American Samoa
240 Vera Point;;Rehnān;;Iran
68 Pankratz Street;;Sibiti;;Republic of the Congo
92 Canary Circle;2342;Ruše;;Slovenia
10 Sage Avenue;;Cikadu;;Indonesia
71 Utah Street;A98;Shankill;;Ireland
97990 Warner Pass;11600;Kelaniya;;Sri Lanka
76 Tennessee Crossing;;Curibaya;;Peru
8 Fallview Alley;;Pedraza La Vieja;;Venezuela
845 Dayton Avenue;7945;Rosebank;;South Africa
7973 Cherokee Junction;;Samaipata;;Bolivia
7490 Cardinal Point;94000-000;Gravataí;;Brazil
0814 Holy Cross Park;83000;Kohlu;;Pakistan
42215 Katie Way;H23;Clones;;Ireland
72 Fisk Point;63-020;Zaniemyśl;;Poland
57502 Mifflin Junction;20709;Laurel;Maryland;United States
8823 Clemons Parkway;81543;München;Bayern;Germany
6 Golf Lane;;Zhongcheng;;China
069 Susan Street;356537;Svetlograd;;Russia
280 Sycamore Center;700 15;Örebro;Örebro;Sweden
9 Hoffman Junction;50634;Kuala Lumpur;Kuala Lumpur;Malaysia
53 David Park;676859;Belogorsk;;Russia
8694 Moulton Lane;11-510;Wydminy;;Poland
9 4th Lane;96980;Hidalgo;Veracruz Llave;Mexico
89 David Road;332 24;Gislaved;Jönköping;Sweden
450 Columbus Avenue;1938;Nāgarpur;;Bangladesh
19 Erie Alley;;Helong;;China
69 Johnson Hill;5223;Jesús María;;Argentina
50535 Brown Center;;Sukamahi Satu;;Indonesia
11 Jay Drive;R1A;Selkirk;Manitoba;Canada
8638 Londonderry Pass;;Mao;;Chad
9050 Texas Pass;;Songqiao;;China
7327 Meadow Valley Way;;Ndjolé;;Gabon
03675 Cardinal Drive;;Kengkou;;China
837 1st Junction;89355;Magdaleno Aguilar;Tamaulipas;Mexico
76 Steensland Crossing;91130;Sanom;;Thailand
3829 Monica Place;;Kafr ad Dīk;;Palestinian Territory
1987 Mallory Drive;32-410;Dobczyce;;Poland
2269 Blue Bill Park Street;;Xilu;;China
7971 Marquette Hill;37-511;Jagiełła;;Poland
095 Barnett Place;14609;Rochester;New York;United States
9 High Crossing Drive;321-4217;Mashiko;;Japan
8319 Killdeer Court;;Nglego;;Indonesia
9939 American Street;420-0949;Yoichi;;Japan
831 Pawling Lane;;Chengjiang;;China
4172 Elka Avenue;;Xianan;;China
24 Di Loreto Street;;Shangjie;;China
06 Larry Point;88872;Kota Kinabalu;Sabah;Malaysia
01281 Johnson Circle;34132;Kassel;Hessen;Germany
17 Mesta Park;;Dhahi;;Yemen
8 Spaight Park;;Pujocucho;;Peru
8523 Sunfield Road;7504;Gradec;;Macedonia
65 Morningstar Terrace;06928 CEDEX;Sophia Antipolis;Provence-Alpes-Côte d'Azur;France
055 Fairview Plaza;76711;Waco;Texas;United States
4279 Weeping Birch Center;86042 CEDEX 9;Poitiers;Poitou-Charentes;France
586 Quincy Park;;Labuhantanggabesar;;Indonesia
46110 Eagle Crest Park;;Sambong;;Indonesia
5 Sachtjen Road;;Qixingtai;;China
40 Mayer Trail;;Gouping;;China
68632 Melvin Pass;;Karangasem Laok;;Indonesia
59823 Talisman Road;73-155;Węgorzyno;;Poland
4 Drewry Parkway;33436;Boynton Beach;Florida;United States
3 Scoville Place;595 01;Velká Bíteš;;Czech Republic
22184 Hooker Street;;Baghdad;;Iraq
8 Holmberg Junction;85754;Tucson;Arizona;United States
55881 4th Junction;37-750;Wawer;;Poland
4 Oxford Circle;;Margasari;;Indonesia
040 Westport Lane;;Graikochóri;;Greece
80 Gale Lane;;Tanout;;Niger
5460 Weeping Birch Pass;;Hexi;;China
4 Schlimgen Road;;Hairag;;China
46081 Warrior Way;507 52;Borås;Västra Götaland;Sweden
063 Parkside Circle;38-212;Brzyska;;Poland
3 Donald Crossing;;Cikawung;;Indonesia
0 Cambridge Point;3521;Bhairab Bāzār;;Bangladesh
62320 Gulseth Circle;5130-065;Ervedosa do Douro;Viseu;Portugal
27606 Grasskamp Crossing;;Tongxing;;China
26 Schmedeman Road;;Dzyarzhynsk;;Belarus
128 Moulton Point;89800-000;Chapecó;;Brazil
1 Hansons Trail;307732;Konyshevka;;Russia
986 Westerfield Street;50001;Shinpokh;;Pakistan
7 Westend Junction;;Ji’ergele Teguoleng;;China
82 Express Road;;Sanjiazi;;China
3 Sachs Parkway;4010;Pila;;Philippines
95 Farragut Street;;Hengpi;;China
14251 Maple Wood Parkway;89714;Carson City;Nevada;United States
35 Buell Center;88-180;Złotniki Kujawskie;;Poland
8 Merrick Parkway;;Al ‘Āliyah;;Tunisia
85 Fisk Hill;87-401;Golub-Dobrzyń;;Poland
44807 Redwing Hill;681 22;Kristinehamn;Värmland;Sweden
192 Glacier Hill Circle;3184;Torrevieja;Comunidad Valenciana;Spain
4 Delladonna Point;;Bakıxanov;;Azerbaijan
021 Coolidge Hill;3016;Santo Tomé;;Argentina
163 Quincy Plaza;;Arazane;;Morocco
52940 Loftsgordon Circle;AB39;Aberdeen;Scotland;United Kingdom
830 Charing Cross Avenue;48203;El Cerrito;Jalisco;Mexico
9 West Street;;Silca;;Honduras
2 Sunbrook Road;27570-000;Cambebba;;Brazil
752 Springs Junction;;Shimen;;China
79 Russell Hill;;Qagan Obo;;China
970 Banding Lane;;Kukuluk;;Indonesia
3632 Cordelia Drive;32-825;Borzęcin;;Poland
2 Farragut Avenue;162510;Kaduy;;Russia
954 Buena Vista Hill;;Cikembar;;Indonesia
84927 Dennis Drive;33480;Ylöjärvi;;Finland
7 Mendota Terrace;;Pengshi;;China
3732 Lake View Court;;Lieyu;;China
06052 Weeping Birch Circle;5504;Surup;;Philippines
6 Johnson Alley;;Duko;;Indonesia
32 Declaration Street;18105;Allentown;Pennsylvania;United States
9978 Bultman Parkway;75817 CEDEX 17;Paris 17;Île-de-France;France
2566 Sloan Trail;;Banjar Ponggang;;Indonesia
9294 Pepper Wood Lane;08-205;Stara Kornica;;Poland
7 Vidon Place;6305;Sindangan;;Philippines
875 Rowland Terrace;3140-555;Tentúgal;Coimbra;Portugal
0152 Loomis Parkway;;Lianhe;;China
1169 Brentwood Junction;;Linghu;;China
88792 Lake View Court;80500;Johor Bahru;Johor;Malaysia
4 Eliot Pass;;Hebi;;China
5888 Bartillon Parkway;;Xingren;;China
599 Oak Street;;Lerrnanist;;Armenia
1 Northfield Way;4620-620;Muro;Porto;Portugal
939 Armistice Crossing;301635;Partizan;;Russia
08792 Sutherland Pass;;Luowan;;China
553 Merchant Center;;Taourirt;;Morocco
4 Norway Maple Pass;;Meniko;;Cyprus
0910 Old Gate Lane;76-020;Bobolice;;Poland
06804 Karstens Way;;Bailang;;China
3 Michigan Park;;Aguelmous;;Morocco
75 Schmedeman Lane;455 31;Munkedal;Västra Götaland;Sweden
44063 Pawling Plaza;E1C;Moncton;New Brunswick;Canada
25792 Dovetail Park;;Xipi;;China
9391 Marquette Trail;;Ngerengere;;Tanzania
85129 Logan Road;353810;Trudobelikovskiy;;Russia
902 Old Gate Road;;Bondokodi;;Indonesia
3864 Brickson Park Way;456510;Dolgoderevenskoye;;Russia
43 Pearson Alley;;Oefatu;;Indonesia
50657 Golden Leaf Place;70174;New Orleans;Louisiana;United States
10 Grasskamp Avenue;676581;Ekimchan;;Russia
8 Saint Paul Alley;;Al Jamālīyah;;Egypt
8 New Castle Drive;;La Mesa;;Panama
7 Stuart Trail;441-2303;Matsudo;;Japan
452 Hazelcrest Crossing;07209 CEDEX;Aubenas;Rhône-Alpes;France
002 Swallow Circle;;Fengle;;China
13 Kropf Lane;;Belén;;Uruguay
95136 Golf View Hill;;Cinunjang;;Indonesia
48 Rusk Street;;Tokmok;;Kyrgyzstan
9 Eagle Crest Plaza;;Tinta;;Peru
7 Holmberg Crossing;;Thị Trấn Trùng Khánh;;Vietnam
485 Sullivan Center;24515;Lynchburg;Virginia;United States
472 Barby Terrace;;Yên Lạc;;Vietnam
0444 Crownhardt Road;5108;Wawa;;Philippines
7 Dovetail Junction;;Manhan;;Mongolia
575 Prairie Rose Center;J5A;Saint-Constant;Québec;Canada
5290 Kipling Drive;70116;New Orleans;Louisiana;United States
76924 Garrison Hill;;Chandal Bā’ī;;Afghanistan
1071 Ridgeway Avenue;;Changqing;;China
72950 Shelley Pass;;Sabhā;;Libya
4 Tony Alley;9450;Ventersburg;;South Africa
93 Sherman Junction;12100;Castellon De La Plana/Castello De La Pla;Comunidad Valenciana;Spain
39 Goodland Circle;;Cimara;;Indonesia
23697 Mallard Center;;Obolo-Eke (1);;Nigeria
22 Ryan Drive;62-620;Brdów;;Poland
2394 Crowley Place;;Karangasem;;Indonesia
92 Sycamore Alley;;Hoolt;;Mongolia
00 8th Crossing;;Shiqiao;;China
231 Fallview Terrace;72-330;Mrzeżyno;;Poland
224 Susan Terrace;;Yanglinwei;;China
52 Aberg Street;4815-019;Conde;Braga;Portugal
00 Amoth Street;943 36;Öjebyn;Norrbotten;Sweden
7 Bellgrove Crossing;;Qianjiang;;China
94536 Lake View Drive;;Quangang;;China
14443 Del Mar Hill;2925-017;Aldeia da Piedade;Setúbal;Portugal
4 Lyons Hill;164 40;Kista;Stockholm;Sweden
57697 Independence Junction;44300-000;Cachoeira;;Brazil
7 Beilfuss Parkway;;Gharyan;;Libya
818 Kensington Road;;Gaokan;;China
33 Schiller Avenue;;Cuntan;;China
58 Kennedy Pass;417 52;Hostomice;;Czech Republic
89 Norway Maple Center;;Hariang;;Indonesia
92 Summit Parkway;94659 CEDEX 1;Rungis;Île-de-France;France
843 Mifflin Avenue;;Casa Quemada;;Honduras
279 Surrey Point;;Nanmen;;China
8449 Dorton Terrace;;Xinan;;China
826 Melby Pass;4960-160;Lage;Viana do Castelo;Portugal
97633 Longview Drive;76011;Arlington;Texas;United States
64 Charing Cross Pass;;Laban;;Indonesia
1 Bluestem Point;802-0044;Kumamoto;;Japan
982 Quincy Hill;;Arshaluys;;Armenia
04001 Heath Pass;;Ocho Rios;;Jamaica
4 Heath Alley;;Saño;;Peru
628 Farragut Trail;;Al Maşlūb;;Yemen
5 Warner Circle;44143;Dortmund;Nordrhein-Westfalen;Germany
6319 Browning Drive;;Ipuh;;Indonesia
0373 Utah Park;93950-000;Xique Xique;;Brazil
7951 Kedzie Center;;Chervonohryhorivka;;Ukraine
2291 Sutteridge Alley;;Changchuan;;China
0 Stang Crossing;;Guoxiang;;China
9333 Muir Terrace;40602;San José;;Costa Rica
321 Scott Lane;;Shuiyuan;;China
55 Rutledge Lane;60078;Palatine;Illinois;United States
529 Rockefeller Point;;Garahan;;Indonesia
8491 Vernon Parkway;36441;San Francisco;Guanajuato;Mexico
27968 Sheridan Way;38096 CEDEX;Villefontaine;Rhône-Alpes;France
1 Marquette Terrace;;Changshou;;China
5676 Crownhardt Alley;;Careva Ćuprija;;Bosnia and Herzegovina
0 Texas Way;;Sillamäe;;Estonia
8 Londonderry Road;26930;Zaragoza;Coahuila De Zaragoza;Mexico
36408 Springs Street;63560-000;Acopiara;;Brazil
47059 Valley Edge Alley;;Qinglung;;China
5467 Bashford Way;64290-000;Altos;;Brazil
603 Victoria Park;;Ghormach;;Afghanistan
4 Del Sol Alley;;Minna;;Nigeria
74494 Shelley Junction;;Kotabaru;;Indonesia
278 Canary Street;;Madruga;;Cuba
75 Gerald Court;44380-000;Cruz das Almas;;Brazil
824 Milwaukee Circle;9400;Río Gallegos;;Argentina
0427 Southridge Park;;Qiaoxia;;China
0022 Bunting Plaza;;Kufayrit;;Palestinian Territory
857 Moulton Point;;Yara;;Cuba
8 Golf Parkway;3055;Cottbus;Brandenburg;Germany
10 Vernon Alley;;Baimi;;China
1187 Mcguire Terrace;95930-000;Cruzeiro do Sul;;Brazil
60 Arapahoe Court;;Muesanaik;;Indonesia
3 Donald Way;;Tintafor;;Sierra Leone
95454 Kinsman Pass;;Deshan;;China
9 Kingsford Road;99500-000;Carazinho;;Brazil
0 Evergreen Crossing;;Lhari;;China
08621 2nd Point;;Kubang;;Indonesia
7 Paget Road;;Huangpu;;China
6243 Tony Street;J0J;Pincher Creek;Alberta;Canada
116 Gateway Court;999-5203;Kawaguchi;;Japan
6934 Harper Hill;;Sancha;;China
17 Grim Court;659700;Pospelikha;;Russia
794 Ridgeview Pass;S9V;Lloydminster;Saskatchewan;Canada
122 Kedzie Pass;;Changgou;;China
47 Manley Lane;;Longzhou;;China
88784 Melrose Place;;Telpaneca;;Nicaragua
5 Pearson Avenue;;Şabrātah;;Libya
0 American Avenue;;Artémida;;Greece
39559 Holy Cross Avenue;366303;Staryye Atagi;;Russia
97 Eagan Pass;89270-000;Guaramirim;;Brazil
65 Hooker Court;;Yingta;;China
23 Glendale Hill;;Kyosai;;South Korea
67150 Sundown Junction;;Nancheng;;China
276 Susan Road;;Wenchi;;Ghana
6 Esch Center;;Besah;;Indonesia
169 Graedel Crossing;33023;Hollywood;Florida;United States
680 Havey Avenue;75062;Irving;Texas;United States
42 Gulseth Pass;;Gegernoong;;Indonesia
6 Farwell Trail;8422;Silae;;Philippines
4030 Pennsylvania Road;;Badai;;China
998 Carpenter Place;19130;Mingora;;Pakistan
34167 Forest Court;2710-151;Barrunchal;Lisboa;Portugal
66531 Dorton Parkway;94970;Manlio Fabio Altamirano;Veracruz Llave;Mexico
80 Goodland Terrace;;Ciharalang;;Indonesia
553 Atwood Court;;Jiabeiyan;;China
71653 Killdeer Junction;;Sarpang;;Bhutan
6 Red Cloud Street;;Ramotswa;;Botswana
35 Comanche Place;;Yirga ‘Alem;;Ethiopia
192 Florence Plaza;43-173;Łaziska Górne;;Poland
29130 Washington Street;;Stende;;Latvia
140 Warrior Place;;Fahraj;;Iran
7503 Village Green Lane;;Condong;;Indonesia
56 Chinook Point;1114;Punolu;;Philippines
84157 Gina Trail;;Novovorontsovka;;Ukraine
99 Oak Valley Road;;Chengzhong;;China
5 Redwing Road;676620;Romny;;Russia
1900 Cardinal Avenue;;Pecoro;;Indonesia
96 Katie Point;;Caohezhang;;China
1 Division Center;37-114;Białobrzegi;;Poland
